Название,Описание,Артикул,Цена
D`Addario KRDL,Канифоль для смычков,Арт. 77811,1280.00
Flight FV-134 ST,Скрипка ученическая,Арт. 77636,8440.00
K&M 15580-000-55,Держатель для скрипки,Арт. 72520,4690.00
Pirastro 241000,Струны для контрабаса,Арт. 71131,78809.00
Pirastro 332020,Струны для виолончели,Арт. 67156,29990.00
Pirastro 311121,Струна для скрипки,Арт. 67152,1990.00
Pirastro 412021,Набор cтрун для скрипки,Арт. 71140,3990.00
Pirastro 419321,Струна для скрипки,Арт. 71135,3840.00
D`Addario KA310 4/4M,Струны для скрипки,Арт. 71170,6890.00
Thomastik S42,Струны для контрабаса,Арт. 70287,35700.00
D`Addario J810 4/4M,Набор струн для скрипки 4/4,Арт. 65143,2800.00
Strunal 16W 1/8,Скрипка,Арт. BL01D,9990.00
Strunal 3/160 41,Альт,Арт. 43286,49990.00
Strunal Violin Outfit 1/8 С,Кейс для скрипки 1/8,Арт. 7Q00B,990.00
Gewa 404051Brasil wood Student Violin bow 4/4,Смычок для скрипки,Арт. 3200A,3626.00
D`Addario H510 4/4M,Струны для виолончели,Арт. 7M00B,13740.00
D`Addario H510 4/4L,Струны для виолончели,Арт. 7M00A,22430.00
NS Design PRIS BOOMERANG STRAP,Ремень для контрабаса,Арт. 7Q011,90.00
Fishman PRO-C20-0CE,Звукосниматель для виолончели,Арт. 1B002,3990.00
Yamaha V5SA SIZE 3/4,Скрипка 3/4,Арт. BL003,61990.00
D`Addario H310 4/4M,Струны для скрипки,Арт. 00808,6660.00
D`Addario J814 4/4M,Струны для скрипки,Арт. 22057,156.00
K&M 15530-000-55,Стойка для скрипки,Арт. 5Q001,7990.00
